rua,bairro,numero,cep,cidade,estado,pais
Av. Juscelino Kubitschek de Oliveira,Juá,570,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,840,58200-000,Guarabira,PB,Brasil
R. Maria Batista da Silva Costa Barbosa,Conj. Santo Amaro,296,58270-000,Araçagi,PB,Brasil
Rua Dr. Antônio Guedes,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58175-000,Nao possui Cidade,Nao possui Estado,Brasil
R. João Gregório,Bairro Novo,1220,58200-000,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Rosário,81,58200-000,Guarabira,PB,Brasil
Av. Feliciano Batista de Amorim,Bairro Novo,650,58200-000,Guarabira,PB,Brasil
Av. Olívio Maroja,Nao possui Bairro, 1015,58270-000,Araçagi,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
R. Ana Bulhões,Primavera,381,58200-000,Guarabira,PB,Brasil
PB-073,Bela Vista,405,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,510,58200-000,Guarabira,PB,Brasil
R. Silvino Marcolino da Silva,Nao possui Bairro, 228,58270-000,Araçagi,PB,Brasil
R. Delfino Cosme,Nao possui Bairro, 2003,58200-000,Guarabira,PB,Brasil
R. Jose Alves Trigueiro,Bairro Novo,576,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,770,58200-000,Guarabira,PB,Brasil
R. Américo P de Brito,Areia Branca,1892,58200-000,Guarabira,PB,Brasil
R. Padre Ricardo,Cordeiro,8,58200-000,Guarabira,PB,Brasil
R. José Bonifácio,Juá,578,58200-000,Guarabira,PB,Brasil
R. Pedro Batista,Nao possui Bairro, 57,58270-000,Araçagi,PB,Brasil
R. Severino Paiva Resende,Nordeste,413,58200-000,Guarabira,PB,Brasil
R. Euclídes Gilau,Bela Vista,59,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Dr. Dario Paiva Ramalho,Cuitegi,45,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. José Marinho de Lucena,Cuitegi,41,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Elói Pereira,Rosário,232,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58210-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58210-000,Guarabira,PB,Brasil
R. B,Cuitegi,43,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Pref. Manoel Lordão,Nao possui Bairro, 761,58200-000,Guarabira,PB,Brasil
R. Santa Isabel,Nordeste I,344,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Hermenegildo de Almeida,Esplanada,31,58200-000,Guarabira,PB,Brasil
Rod. Pb Setenta e Cinco,Areia Branca,330,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58210-000,Guarabira,PB,Brasil
R. Hermenegildo de Almeida,Esplanada,31,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Unnamed Road - Guarabira,Nao possui Bairro,Sem Numero,58200-000,Unnamed Road,Guarabira,Brasil
R. Pref. Manoel Lordão,Nao possui Bairro, 709,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58210-000,Guarabira,PB,Brasil
R. Delfino Cosme,Nao possui Bairro, 2003,58200-000,Guarabira,PB,Brasil
Rua José Américo,Nordeste,360,58200-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Guarabira,169,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
Unnamed Road - Guarabira,Nao possui Bairro,Sem Numero,58200-000,Unnamed Road,Guarabira,Brasil
R. Antônio de Freitas Albuquerque,Santa Terezinha,69,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,645,58200-000,Guarabira,PB,Brasil
KM 3 - PB-057 - Guarabira,PB-057 - Guarabira,3,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
Unnamed Road - Guarabira,Nao possui Bairro,Sem Numero,58200-000,Unnamed Road,Guarabira,Brasil
Av. Dep. José Rocha,Nao possui Bairro, 317,58270-000,Araçagi,PB,Brasil
Av. Dep. José Rocha,Nao possui Bairro, 307,58270-000,Araçagi,PB,Brasil
Praça Emíliano de Cristo,Nao possui Bairro, 20,58270-000,Araçagi,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Henrique Pacífico,Bela Vista,286,58200-000,Guarabira,PB,Brasil
R. Amaro Guedes,Nordeste,529,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Boa Vista,Rosário,113,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,510,58200-000,Guarabira,PB,Brasil
R. João Batista Galvão,Clóvis Bezerra,202,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. São João,Nordeste,57,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
4GPW+56 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
5G2C+G5 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
Av. Feliciano Batista de Amorim,Bairro Novo,650,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
R. Henrique Pacífico,Primavera,204,58200-000,Guarabira,PB,Brasil
Rua José Américo,Nordeste,290,58200-000,Guarabira,PB,Brasil
R. Augusto de Almeida,Bairro Novo,988,58200-000,Guarabira,PB,Brasil
R. Ver. Sebastião Galdino,Cuitegi,23,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Siqueira Campos,Conj. Chateaubriand,51,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58210-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
58200-000 - PB-057,PB-057,000,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,372,58200-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Cordeiro,383,58200-000,Guarabira,PB,Brasil
R. Maria Pimentel da Cunha,Cuitegi,8,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Olidon Nelsom Dantas,Nao possui Bairro, 52,58208-000,Cuitegi,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. Casa Branca,Cuitegi,672,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. B de Pontes,Bairro Novo,123,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 404,58270-000,Araçagi,PB,Brasil
R. José Tomás dos Santos,Cuitegi,86,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Joca Ataíde,Bairro Novo,560,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
Tv. Braulio Martins,Santa Terezinha,20,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. José Tomás dos Santos,Cuitegi,86,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Régis da Silva,Nao possui Bairro, 71,58270-000,Araçagi,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. João Alves de Olivério,Cordeiro,133,58200-000,Guarabira,PB,Brasil
R. Santo Amaro,Nao possui Bairro, 546,58270-000,Araçagi,PB,Brasil
R. Lodônio R de Bulhões,Nao possui Bairro, 286,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Sabiniano Maia,Bairro Novo,645,58200-000,Guarabira,PB,Brasil
R. Delfino Cosme,Nordeste I,292,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
PB-057,Nao possui Bairro, 77,58200-000,Guarabira,PB,Brasil
R. B,Cuitegi,25,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. e,Cuitegi,5,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Ver. João Tibúcio,Nao possui Bairro, 204,58208-000,Cuitegi,PB,Brasil
R. B,Cuitegi,25,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-073,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Fazenda pendência,Nao possui Bairro,Sem Numero,58200-000,N Zona Rural,Cachoeira,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
R. Antônio Camelo de Melo,Nao possui Bairro, 73,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Casa Branca,Cuitegi,672,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Tv. José Oliveira Madruga,São José,33,58200-000,Guarabira,PB,Brasil
R. Joana Alexandrino,Nao possui Bairro, 147,58270-000,Araçagi,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58210-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Joca Carteiro,Santa Terezinha,83,58200-000,Guarabira,PB,Brasil
R. Francisco Alves de Andrade,Nao possui Bairro, 291,58200-000,Guarabira,PB,Brasil
R. A,Cuitegi,20,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
3GXP+9R Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Lodônio R de Bulhões,Nao possui Bairro, 286,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,650,58200-000,Guarabira,PB,Brasil
R. Principal,Cachoeira,230,58205-000,Guarabira,PB,Brasil
Rod. Pb Setenta e Cinco,Rosário,16,58200-000,Guarabira,PB,Brasil
R. Arlete Guedes Cunha,Cachoeira,65,58205-000,Guarabira,PB,Brasil
R. Projetada,Pirpiri,482,58200-000,Guarabira,PB,Brasil
R. Manoel Jose dos Santos,Bairro Novo,47,58200-000,Guarabira,PB,Brasil
R. Creuza Clementino,Cj Joao Cassimiro,79,58200-000,Guarabira,PB,Brasil
R. Pref. Manoel Lordão,Nao possui Bairro, 693,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Nao possui Bairro, 155,58200-000,Guarabira,PB,Brasil
R. José da Cunha Rego,Bairro Novo,764,58200-000,Guarabira,PB,Brasil
R. Liberdade,Nao possui Bairro, 399,58208-000,Cuitegi,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Rod. Pb Setenta e Cinco,Rosário,16,58200-000,Guarabira,PB,Brasil
R. Casa Branca,Cuitegi,672,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
PB-073,Nao possui Bairro, 137,58200-000,Guarabira,PB,Brasil
R. Dois,Cuitegi,91,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Ver. Sebastião Galdino,Cuitegi,25,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-073,Nao possui Bairro, 1253,58200-000,Guarabira,PB,Brasil
R. José da Cunha Rego,Bairro Novo,735,58200-000,Guarabira,PB,Brasil
R. Manoel Carlos da Silva,Nao possui Bairro, 911,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
R. Manoel Alvino de Moura,Piloezinhos,268,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. José Luís de Oliveira,Bairro Novo,725,58200-000,Guarabira,PB,Brasil
R. Mal. Deodoro da Fonseca,Centro,102,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,645,58200-000,Guarabira,PB,Brasil
R. Jose Alves Trigueiro,Bairro Novo,601,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Rod. Pb Setenta e Cinco,Rosário,16,58200-000,Guarabira,PB,Brasil
Tv. Lodônio de Bulhões,Alto Boa Vista,33,58200-000,Guarabira,PB,Brasil
Tv. Bela Vista,Piloezinhos,10,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. José Joaquim de Melo,Cuitegi,95,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
